"Product","Category","Brand","Price"
Royal Blunts x TSC | Blunt 2pk 2g | Whoa Si Whoa,Pre-Rolls,Royal Blunts,35
Raw | Organic Hemp Cones (3pk) | King Size,Accessories,Raw,3
Kushy Punch | Gummy 100mg | S | Kiwi Breeze (IND),Gummies,Kushy Punch,16
PAX | LRO Gummies 100mg | Heirloom Peach,Gummies,Pax,20
Claybourne | FLQD Pre Rolls .5g (2pk) | H | Mango Machine,Pre-Rolls,Claybourne Co.,20
High Hemp | Wraps (2pk) | CBD+ | Blazin Cherry,Accessories,,2
Big Pete's | Single Cookie 10mg | I | Peanut Butter,Edibles,Big Pete's,5
Pacific Stone | Pre-Rolls .5g (2pk) | H | Cereal Milk,Pre-Rolls,Pacific Stone,10
Rollers D | PG Flower 7g | H | Vitamin Diesel,Quarters,Rollers Delight,15
Josh Wax | Flower 3.5g | H | Sudz,Eighths,Josh Wax,68
Stiiizy | Flower 3.5G | Lemon Cherry Haze (B),Eighths,Stiiizy,32
Jeeter | IN Pre-Rolls (5pk) | I | Blue ZKZ,Pre-Rolls,Jeeter,45
Pacific Stone | Pre-Rolls .5g (2pk) | S | Starberry Cough,Pre-Rolls,Pacific Stone,10
Elements | Papers Ultra Thin (32pk) | King Size,Accessories,West Coat Hookah & Glass,2
Camino | Chews CBG 100mg (1:1) | Golden Peach (Promo),Edibles,Camino,1
Stiiizy | Pod 1g | S | Magic Melon,Cartridges,Stiiizy,35
Uncle Arnie's | Bev 100mg | Pineapple Punch 8oz,Beverages,Uncle Arnie's,12
Pacific Stone | Flower 3.5G | H | Cereal Milk,Eighths,Pacific Stone,20
LEVEL | Protab+ 10pk | Lights Out,Edibles,Level,33
Stiiizy | Pod .5g | S | Super Lemon Haze,Cartridges,Stiiizy,20
Stiiizy | Flower 3.5G | Peanut Butter Gelato (LG),Eighths,Stiiizy,25
Jeeter | IN Pre-Rolls (5pk) | H | Fire OG,Pre-Rolls,Jeeter,45
HB | Flower 3.5g | H | Sherbert,Eighths,Heirbloom,45
Delights | SR Gummy 100MG | H | Cherry Pear,Gummies,Delights,11
Rollers D | PG Flower 7g | S | Canna Montana,Quarters,Rollers Delight,15
Dizzies | Pre Ground 3.5g | S | Strawberry Milkshake,Eighths,Dizzies,22
The Fizz | Bev 100mg | Ganja Blast,Beverages,The Fizz,10
Rollers D | PG Flower 7g | I | Trunk Funk,Quarters,Rollers Delight,15
Stiiizy | Pod .5g | I | OG Kush,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | S | Sour Tangie,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | S | Orange Sunset,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | S | Premium Jack,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | I | Purple Punch,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | S | Strawberry Cough,Cartridges,Stiiizy,20
Stiiizy | Pod .5g | H | Gelato,Cartridges,Stiiizy,20
Stiiizy | Pod 1g | I | Hardcore OG,Cartridges,Stiiizy,35
PAX | LRO Gummies 100mg | Wild Strawberry,Gummies,Pax,20
Dixie | Synergy Gummies | I | 2:1:1 Ratio | Sleepberry,Gummies,Dixie,25
Presidential | Blunt 1.5g | I | Blue Raspberry,Pre-Rolls,Presidential,24
Presidential | Blunt 1.5g | H | Gorilla Goo,Pre-Rolls,Presidential,24
Presidential | Blunt 1.5g | S | XJ-13,Pre-Rolls,Presidential,24
Presidential | Pre-Roll 1g | I | Skywalker,Pre-Rolls,Presidential,17
Boutiq | LR Dispo 1g | I | Legend OG,Disposables,Boutiq,27
Just J | Dispo 1g | I | Kosher Kush,Disposables,Just J,30
Huxleys | Sex Gelcaps 20mg | H | Passion Fruit,Edibles,Huxleys,50
Boutiq | LR Dispo 1g | S | Cantaloupe Haze,Disposables,Boutiq,27
Raw | Perforated Gummed Tips | (33 pk),Accessories,Raw,2
PBR | Bev 25mg | Cherry Limeade (12oz),Beverages,PBR (Pabst),11
Stiiizy | LRD AIO 1G | I | Northern Lights,Disposables,Stiiizy,45
Rollers D | PG Flower 14g | S | Medkit,Halves,Rollers Delight,35
Rollers D | PG Flower 14g | I | Swashbuckler,Halves,Rollers Delight,35
Almora Farm | LRE Gummy 100mg | H | Green Apple & Yuzu,Gummies,Almora Farm,19
Kushy Punch | Gummy 100mg | I | Blueberry (IND),Gummies,Kushy Punch,16
Kushy Punch | Dispo 1g | S | Fresh Lemonade,Disposables,Kushy Punch,30
Stiiizy | Pod .5g | I | SFV OG,Cartridges,Stiiizy,20
Stiiizy | Pod 1g | H | Blue Burst,Cartridges,Stiiizy,35
Stiiizy | Pod 1g | I | OG Kush,Cartridges,Stiiizy,35
WCC | Cart 1g | S | Blue Dream,Cartridges,West Coast Cure (WCC),25
Stiiizy | AIO 1G | H | Apple Fritter,Disposables,Stiiizy,40
Stiiizy | Pod 1G | H | Apple Fritter,Cartridges,Stiiizy,35
Turn | Podpak | White,Accessories,Turn,35
Preferred Gardens | P Flower 3.5g | Permanent Marker,Eighths,Preferred Gardens,32
Claybourne | DI Pre Rolls .5g (2pk) | H | Pineapple Express,Pre-Rolls,Claybourne Co.,20
Punch | Rosin Dispo .5g | Papaya Drank,Disposables,Punch,45
Stiiizy | AIO 1G | H | Pineapple Runtz,Disposables,Stiiizy,40
